iso3,country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ABW,Aruba,28104.8954362859,29007.7386958774,28535.4639480222,28525.8077063839,29959.7748189582,29081.7066997897,28885.9118700469,29556.8384686554,29870.6648077005,26204.0597361984,25429.2180974853,26093.0542083227,25444.7336646687,26680.1411206342,26773.8226808518,27458.2201537506,27587.2498040483,28548.8904317739,29419.208623316,29699.1805366222,22729.8897593533
AFE,Africa Eastern and Southern,1205.98105360593,1216.33535706379,1231.4445675519,1235.71164842373,1271.31275711155,1314.3879382145,1364.70525366925,1417.47243247841,1440.59728407645,1414.58775130051,1449.48915951845,1468.63057193646,1456.72281306529,1478.97797685759,1495.95557383523,1498.8752400759,1490.9075460241,1490.91109750422,1489.94213724372,1479.37238691603,1399.39849841898
AFG,Afghanistan,308.318269746638,277.118051443941,338.139973643387,346.071627096223,338.637273888197,363.640141436773,367.75831169358,410.757728879097,417.647282647498,488.830652491949,542.871030476037,525.42698276582,568.929021458341,580.603833333096,575.146245808546,565.569730408751,563.872336723147,562.769574140988,553.125151688293,557.861533207459,527.834554499306
AFW,Africa Western and Central,1188.0373057001,1215.84949075792,1299.69542056655,1334.72594265973,1402.22876764658,1441.98859440003,1475.92318265943,1513.01942969263,1562.21124621273,1612.48837316067,1677.95238312056,1711.53923110365,1749.98138710355,1805.79842409374,1857.17116320705,1860.72768628324,1815.17120349953,1808.72220111739,1814.69463581898,1829.06806387649,1719.26150438049
AGO,Angola,2172.46326720494,2189.17352158246,2404.97792071531,2403.40415157038,2583.32411461288,2843.3966357968,3065.05576243895,3336.36332465208,3559.19522512236,3494.80724466172,3540.79159568381,3528.16824373399,3682.35229322763,3716.29718727282,3746.81619978613,3641.72893919944,3454.03317187119,3328.8982124109,3196.79006983557,3083.97534427357,2864.16146036893
ALB,Albania,1991.91435867116,2188.91854451375,2297.10853513924,2428.68934653563,2567.29763687121,2712.86983830331,2894.36032580174,3105.8796756386,3345.98161761476,3459.24695646692,3579.82413181046,3677.89457937717,3771.84781862015,3895.89975621942,4045.11934884933,4199.53912925398,4431.55635814168,4648.23078660658,4893.82375538717,5072.43648354739,4980.61699524696
AND,Andorra,34113.8334027285,36790.1209900717,38084.5022003398,39620.3387714274,40054.3399679173,40528.1938997392,41322.0723316534,40789.1781297264,37775.1438845998,35604.4007343193,36277.2814831059,37637.5045137987,36206.9954432018,35684.1861967511,37300.6419409868,38654.95287916,40085.0394278177,39361.0807539996,39242.1633307803,39346.2935180487,34536.666145207
ARB,Arab World,4910.08259157072,4892.98855329169,4835.589416667,4926.58928334869,5250.08375247516,5412.64941314351,5614.91183040313,5727.33322290223,5894.47746607478,5787.82712590845,5948.12916468842,6036.42083357432,6218.04632240872,6220.63858713989,6238.07256611906,6290.55879501691,6366.04865571626,6322.52614443499,6377.12047410411,6367.60443969474,5904.57124162288
ARE,United Arab Emirates,56939.2701807931,54169.4153530236,52216.8753217152,53619.1925678774,55611.419401142,55363.5661047143,56629.9761392644,52038.6159567932,47922.6988207823,42672.1987890808,42328.8508165469,43687.7782783233,43958.5681120856,44312.6337162614,44257.6514761082,44910.334995523,45168.4982473243,43293.0203824801,43377.7858697225,43468.4586811918,39878.474427695
ARG,Argentina,10631.6503639029,10051.9448463043,8861.56199282278,9545.53194119994,10302.4465316428,11099.7509190602,11870.2791559298,12811.9021206578,13197.3570267029,12285.3784651865,13387.1553748458,14040.6189124444,13754.4254235596,13946.0950832252,13456.1319159151,13679.6264980954,13265.8860639123,13520.1129846159,13058.3285449954,12706.3978108968,11393.0505957877
ARM,Armenia,1229.21510436102,1351.12072694555,1535.20452885187,1759.64684829386,1955.22262459229,2240.09273209788,2551.43546358452,2919.3734936373,3141.33193500774,2716.97436280471,2796.08143428043,2943.83687119315,3159.75860786889,3266.29882999873,3393.09252326884,3512.39350276709,3533.88503607007,3815.3747426037,4027.83393010979,4343.45839583019,4032.09043454955
ASM,American Samoa,,,13054.6364326897,13201.7347516166,13291.5356626851,13284.2791128875,12794.7565021718,13092.3111393408,12809.4633079683,12342.0575384016,12446.3086265015,12521.8095058644,12068.2667374983,11871.7937192729,12203.0894714284,12727.4102651386,12665.2829921268,11930.7771236826,12412.6024074562,12524.0160252283,13194.274740128
ATG,Antigua and Barbuda,15961.0918359058,15003.4389169034,14968.0703013883,15703.9347145491,16433.4130541483,17301.2134317518,19259.6486517907,20770.2689732844,20464.786306605,17746.700856041,16135.397384487,15633.9091131821,15989.3900199779,15748.1952024226,15967.284996712,16077.6340769406,16635.895232831,16992.9327495236,18042.1596435727,18525.2588907167,14950.8942397208
AUS,Australia,45979.0765654048,46314.6235297968,47599.4079289312,48509.6632180363,50018.5904483861,50972.640519744,51682.8925230537,52671.325846724,53497.275355342,53430.5274781651,53768.349733441,54296.2321324814,55465.4462872577,55966.1509270561,56571.8062524437,56970.3613028094,57632.9995925594,57991.771347333,58772.7063152213,59181.2997904131,58377.7670517802
AUT,Austria,38571.0858780001,38929.753800545,39313.7225107545,39569.2885567329,40333.3307183894,40989.0131778975,42120.1557002022,43568.8302243941,44063.8642019916,42372.4758254763,43035.4073531933,44146.1956805294,44221.4599530893,43851.3675497404,43838.8345892137,43915.228020857,44362.6702805116,45056.6385912412,45951.5819164034,46550.5622459492,43428.6983137234
AZE,Azerbaijan,1504.73106706035,1640.93664540398,1782.47319183639,1949.60608417331,2111.4533834475,2674.3688564996,3556.83212858133,4412.20326117932,4778.12452736673,5118.43395494687,5300.11048729062,5149.20665913206,5193.17501119552,5425.99559780578,5508.60265612676,5500.50364628486,5272.71817141861,5229.25259993413,5261.92938234432,5346.95318604114,5087.50022783627
BDI,Burundi,264.154407180223,262.913885774384,266.968141648342,255.500823385612,258.050009115333,250.878933475935,255.105582251925,254.311725516331,256.012461554496,252.582019875886,253.308577749924,254.242110648215,256.180393931874,259.311117203355,261.296721752002,254.402585226788,258.061970808946,261.725839288764,267.508692172687,270.411005710809,263.463876356897
BEL,Belgium,35878.3153586195,36148.2880924306,36600.862592332,36826.2699296094,37976.6972967442,38645.2605193362,39371.0858277448,40520.0843207009,40380.9075004042,39293.637546825,39991.5646206286,40236.9596308558,40074.492800399,40007.8997891411,40533.9135027898,40893.804537772,41172.8862831209,41619.328629169,42208.3625650272,43006.4042308863,40769.0218072962
BEN,Benin,861.213292013209,879.854463773645,893.137100961634,896.146763201736,907.624431209378,893.91536869992,900.62053578735,926.740113754071,943.203380303862,936.565651071554,928.246655329144,927.716412836707,943.918771531001,982.399206290516,1014.4330062135,1002.41886879614,1006.03926633023,1032.90471194182,1071.50452156932,1114.17304526443,1126.65404122154
BFA,Burkina Faso,428.309796566198,442.914122870048,448.128856317091,468.263047790124,474.086412333459,499.192797571217,514.113131757062,519.26101218434,533.471299938288,533.470084831931,561.847221302489,581.603658737407,600.731343697818,616.741331164082,624.576885187665,630.124750752312,648.420480176012,669.276310328333,694.492813126351,717.021595096634,713.8421779224
BGD,Bangladesh,620.560472822105,641.288922876274,655.672139362272,676.826252046427,702.656357081873,739.203718353409,779.419570444998,825.508229964537,866.45815762135,901.729626251937,943.66422864236,995.579947155662,1050.39140404066,1103.15695907123,1159.40753475981,1224.38647668165,1299.83091360792,1373.75363740186,1462.25050255713,1564.20802445636,1604.6659234742
BGR,Bulgaria,3717.92889906166,3937.70160937785,4260.40477488601,4519.18439177056,4849.87141310477,5231.33811895255,5629.80127993005,6048.74231752797,6464.72198023576,6288.72543188686,6428.71742590538,6605.30851691027,6693.4277325127,6792.73549964735,6941.01853946718,7268.65445473873,7586.50411050819,7898.70693013652,8194.37434587757,8626.13418680372,8440.08304721192
BHR,Bahrain,25407.9694054552,25106.2869742612,24149.0156013799,23857.6403579769,23688.1121059225,23439.6704353038,23095.0181330228,23112.4888058398,23127.2148040048,22206.9371985225,22224.0736166249,23288.0449398313,23894.8804447088,24271.6278814506,24135.4991304849,23734.0551143019,23715.2791328712,23606.8867501313,24059.7838641562,24873.6640060134,23586.9309581516
BHS,"Bahamas, The",32424.7271786716,32870.0918307285,33374.602685914,32559.311554898,32444.0739567569,33144.7878790275,33541.850748701,33549.3360007274,32331.8246135092,30581.3342198488,30657.4319059659,30492.6738528071,31553.4919490645,30368.2631244189,30658.5344563722,30719.405417469,30152.1619246021,30974.7477261317,31537.2423841956,31117.6299132391,24791.6704945106
BIH,Bosnia and Herzegovina,2567.34136989735,2617.18230350812,2743.13878615838,2855.68314939849,3063.83543448936,3217.81341615345,3419.75887457192,3665.08966529499,3929.03297717336,3877.53540078456,3981.20985692032,4094.25329541877,4139.91732773657,4306.73175072214,4412.67617817734,4662.25869219448,4876.53471495633,5099.81602856447,5360.25201017633,5583.29721276458,5490.75366635139
BLR,Belarus,2615.36376799462,2753.0336970697,2910.39937484153,3137.26261430575,3520.40452642524,3877.71738911289,4291.68647163264,4682.20676719042,5177.64534775676,5200.77418555423,5616.0941173307,5941.68999156239,6052.6373706236,6115.43288098707,6212.91667418659,5967.05595058777,5811.20159182547,5964.89668834561,6165.91320019277,6267.73508743505,6251.98898968645
BLZ,Belize,5663.64632374973,5764.99055491104,5895.15235037898,6274.47428279313,6383.07432412662,6337.12389222378,6435.58767337678,6465.82885846045,6187.95885023655,5997.68447156383,5937.75398343789,5802.24344531492,5902.74234696881,6013.07879895362,6116.49578852783,6154.62264230369,6012.21296983668,5767.61921963762,5707.61059954436,5864.14611827109,5006.48453276935
BMU,Bermuda,109502.763102809,116809.925253071,114574.433608566,118018.831592635,120432.12052555,122143.799577518,128662.931924261,132595.482654866,129525.177139097,121727.584908744,118382.908990645,113937.835700983,108040.575659203,107860.394791964,103941.982606956,104855.366822135,104190.876720334,107734.608357327,106843.163739391,106709.881238843,98999.5076617935
BOL,Bolivia,2014.19024658446,2013.84581083123,2029.66993638623,2050.07133411879,2099.990810637,2156.18670325307,2221.42722587103,2283.4273357151,2383.2503257823,2422.57579390007,2481.40700850945,2568.5205166368,2657.23884915853,2793.51457098676,2900.90241586338,2996.01289811344,3077.57057564766,3160.16421228968,3204.53670819124,3207.3869521223,2765.0927177231
BRA,Brazil,6817.78345634413,6823.0331851176,6944.62257593723,6941.43965883253,7258.78101654079,7409.56827992249,7622.03919432148,8003.2532101272,8330.76364001877,8246.09612122851,8792.63334959864,9067.99212019529,9167.49818450433,9366.73824670239,9338.34170840985,8936.1955889444,8577.84277969667,8628.25209645723,8722.33529970988,8771.43950372603,8435.01046209185
BRB,Barbados,21523.3992235883,20985.2828573064,21012.5595449081,21338.1720739511,21516.1662922098,22250.0263806215,23487.4418767503,23862.135352962,23887.7289633459,22572.5926053677,21982.1839041348,21842.8635599786,21036.3003366556,20609.6076272963,20713.7670210437,20424.2087530019,20684.7801825176,20788.7046543161,20483.9550976366,20494.3871602646,17519.837062872
BRN,Brunei Darussalam,37509.5983847742,37269.3099216587,37976.2627573601,38595.1688513702,37948.6590825194,37312.2778797122,38229.3565684183,36174.516515486,34126.6941563969,32855.6021602466,33121.3178241724,33754.3640783713,33544.5389457877,32381.0739795231,31148.7297405401,30625.1287744656,29492.4145927789,29524.65912789,29200.1952024222,29996.2407223175,30015.9588506697
BTN,Bhutan,1259.6237645235,1321.09878230279,1427.25693317315,1506.4152751782,1552.73915195801,1632.02169500573,1701.11878173586,1952.25734603779,2017.76018913403,2148.56480375034,2378.72810760985,2552.48871073094,2654.74798946027,2671.07460201171,2797.81883971908,2954.04081911097,3173.36773217431,3211.80903275593,3300.55006461736,3467.38598979356,3092.12428399363
BWA,Botswana,5062.64289173588,4971.96371794188,5175.47655317231,5320.440295139,5369.42516766112,5514.21742664705,5865.00026521361,6085.6354476126,6158.61629368051,5179.4138607146,5584.5034321846,5850.07858575461,5742.91924452636,6284.97678002618,6547.12254115892,6141.20394726616,6490.83463593483,6662.57644805467,6843.84612027739,6951.73189051146,6254.24806241091
CAF,Central African Republic,437.168928414826,446.658634192083,452.808702217035,418.240532289858,433.825227770233,427.968043155237,439.294330902768,450.762785401893,450.313616886022,492.215398914836,519.141456408484,532.38295493852,553.729578314912,349.821171688973,351.561554911625,366.322853938121,376.858254120398,387.35795131742,395.020015455909,401.82582161435,398.834274122139
CAN,Canada,37906.8601321366,38200.456120621,38921.6673033743,39270.0234577749,40108.7587456658,41006.2229523971,41663.5123057295,42106.8724378248,42067.5687072607,40376.4153847836,41164.3399119626,42043.6419795513,42320.6431330726,42851.170527104,43643.2356440047,43594.1941045394,43551.3425975115,44339.3886689254,44907.3436912123,45100.2915069262,42366.1285377884
CEB,Central Europe and the Baltics,7450.86082262,7730.94875575432,8057.22231935461,8405.63159028509,8923.85904704259,9387.59188976247,10036.4787965852,10712.5543317673,11176.9879548804,10792.8296963649,10998.6534832885,11421.7332703753,11544.5427262519,11661.9769238564,12076.1572564969,12596.8862547468,12991.54601565,13696.463585633,14411.9811999448,15024.0127296269,14621.1363727276
CHE,Switzerland,73749.9389517966,74439.4637644735,73824.3849167809,73254.9529864219,74718.6836260364,76282.9840696619,78893.8078199046,81254.1701015272,82481.0680560935,79585.5216989959,81315.4228307049,81874.3362425008,81964.8864937809,82479.9215677304,83394.3712888211,83806.4476003837,84611.0998672721,84967.5886498224,86756.6022327472,87123.6604234257,84637.0132935333
CHI,Channel Islands,,,,,,,,,,67617.8205403696,64722.9832990297,65006.4871287216,60861.9006460501,60780.669022098,61892.8083445708,61847.8212238857,62434.1859444218,63393.3938698644,63859.9826096615,64594.5213908684,58636.7036143365
CHL,Chile,8465.35303258864,8632.0148244056,8810.69052712257,9130.7842621819,9642.37478651228,10104.4208391373,10611.6144012877,11051.3450717678,11356.0922105983,11116.4093443103,11649.2897090856,12252.8441074615,12882.834417927,13182.7329619856,13285.9540361192,13433.9202987032,13505.097711133,13473.3458532934,13763.0068844795,13630.5935435578,12679.024004022
CHN,China,2237.44298500334,2405.89396743215,2610.72960252379,2857.0373538115,3127.86276523632,3465.81734409951,3883.35412942474,4409.75700836878,4811.47471804961,5237.76666540352,5764.86534987407,6275.90956436258,6723.19443752823,7198.06876478162,7686.57792954381,8175.33285077393,8679.37704460133,9221.51403820573,9798.6528523316,10356.4804194995,10573.6420059282
CIV,Cote d'Ivoire,1717.95385651231,1636.57318705218,1551.27925902838,1441.58801755037,1451.86547141894,1431.73320203111,1437.77453798586,1420.1738958245,1454.62731800082,1473.9183699329,1540.52927270246,1426.46463864534,1503.43433046682,1632.32712787006,1742.53693001178,1814.71855088017,1889.27777949938,1972.81431788947,2013.32307598499,2093.09994335779,2055.08483996432
CMR,Cameroon,1151.27689302947,1169.92670464984,1189.96707897027,1221.09446141454,1271.74326874167,1264.74345218659,1277.32990712342,1295.73067471287,1295.02211276052,1290.89961351149,1290.9013745759,1297.3064962694,1319.66961634054,1347.2130636706,1381.81938454907,1415.00009710569,1435.61830727839,1444.90682916573,1461.01969999317,1470.31785276187,1434.51913723409
COD,"Congo, Dem. Rep.",339.52682222392,322.033920024307,321.547848190451,329.709536540469,341.714925751419,351.708486411683,358.454382275579,377.437143095814,393.331182464822,383.515898271062,400.619567973092,417.130434045991,438.406058243633,464.526715460494,481.830241883776,495.826633014883,480.461377880475,482.854682128541,495.312105711027,482.524295129472,470.852950000929
COG,"Congo, Rep.",2057.01922023551,2056.16505922617,2100.16876714574,2058.88683675038,2058.88402946896,2140.03686200251,2226.0233547376,2004.10103961966,2061.55829880574,2211.31572382028,2332.28508055953,2307.49384399715,2467.06102906839,2390.65754938662,2488.68118548992,2439.35189403696,2174.19310251224,2003.27121075187,1909.9560382117,1885.51080877731,1725.51040049963
COL,Colombia,4016.80951748167,4020.50789754842,4058.28493578738,4154.17528523618,4311.91591255233,4457.27537460443,4694.03442939175,4947.25260813108,5048.57187245249,5046.97121757727,5214.24547620131,5517.1011086899,5675.75617978305,5910.80592301166,6121.83982019825,6248.51490534512,6316.07067782542,6309.67745292518,6353.5464285392,6439.96359812647,5891.95523215403
COM,Comoros,1150.82840106354,1188.50107049357,1217.11501559943,1216.98036712949,1231.14746798849,1274.6143662974,1227.24636392125,1212.69629084896,1235.97247187374,1250.90035344227,1272.60650664705,1299.11099021922,1313.5812493744,1343.5451171047,1342.32802421364,1329.37048235986,1345.62555739306,1369.41038262485,1391.84620461012,1389.36430643805,1359.70624686714
CPV,Cabo Verde,2037.31720912714,2051.21733888102,2127.70872296502,2186.89500422765,2379.79636224135,2514.16779255327,2683.83943856892,3056.97102851154,3238.44159287498,3159.58698693977,3194.61667734233,3309.20121643898,3341.7421054836,3361.09387702205,3383.8422809791,3415.06266730931,3560.1400729534,3719.71306047915,3853.67940035241,4115.90283469406,3255.93628984058
CRI,Costa Rica,7726.51985682031,7854.2339580182,7989.55926102157,8207.45746763047,8445.52914945791,8655.33965418585,9160.29437453236,9779.51149389818,10104.9092039691,9883.67567046297,10285.0856660419,10612.4694861141,11001.5192856576,11151.1437869768,11422.6735793176,11714.7105980732,12084.4351325634,12468.5654531709,12679.5253643016,12877.650101079,12242.2098908533
CSS,Caribbean small states,10510.8694258103,10648.8703596983,10985.8632347623,11563.3614779162,12014.5670017555,12638.9654635453,13550.3562471238,13982.598007093,14130.2413806317,13578.6986655384,13743.4073853565,13773.5645177114,14236.6654344554,14333.3457750583,14605.7774648313,14497.5393236017,13963.1395387692,13780.3075342487,13815.7947601283,13825.4223050228,12531.5018423504
CUB,Cuba,4112.26168350671,4229.90309433356,4277.39565642359,4426.96599591833,4670.18802138025,5182.35283601732,5799.41163668615,6215.76603727772,6469.08507847668,6561.25305093006,6716.49048497058,6902.16397571139,7109.24834185635,7307.82004410741,7392.48324633027,7727.91997207998,7774.0698462623,7927.27769431767,8120.43123558256,8124.75282059108,7252.28811179844
CUW,Curacao,21523.645846078,22171.0654932071,22231.8792561824,21840.8912647914,21512.1115522523,21112.3218717015,20913.6629896021,21011.1570121301,21202.4304610307,20952.8997952543,20706.437408421,20518.0985782641,20277.5112566223,19921.4771792975,19529.5285930905,19361.8129630226,18953.0538552203,18651.4796966993,18355.1765793615,17980.5297947929,14849.9696941839
CYM,Cayman Islands,,,,,,,96066.629965728,96202.7389296237,93115.3176374189,84001.4219797545,79483.0963975025,78233.0182694571,77074.3886285602,76038.8787807923,76104.621790038,76379.2098777987,77031.864216869,77717.1760762284,79305.7692066005,80714.5721513481,75199.6446248648
CYP,Cyprus,22383.96484375,23019.25,23604.189453125,23930.783203125,24799.6484375,25631.3671875,26395.50390625,27156.818359375,27449.2265625,26183.685546875,26090.048828125,25538.78125,24285.49609375,22711.71875,22373.578125,23088.44140625,24477.986328125,25666.00390625,26962.40625,28167.16015625,26895.68359375
CZE,Czechia,12543.9364342367,12958.4667607533,13179.9878092741,13618.9349633164,14259.63342798,15147.7214417611,16107.3042502688,16892.542854974,17190.6470333289,16272.8084766719,16665.9317825137,16926.2846674435,16772.3539223328,16759.7808635642,17118.0425571578,17931.5987670768,18359.0978103904,19257.6930680911,19736.6295261285,20360.0599221814,19233.1469549829
DEU,Germany,35104.1308467844,35618.5143698493,35477.5151544301,35270.0227284267,35687.6378708542,36024.0947047021,37459.261328042,38593.0749910508,39009.8477636357,36940.4078672661,38526.7371042695,40722.4849268242,40834.5088218456,40884.8926759028,41602.4661281668,41929.7549110722,42516.9337063103,43543.4807050551,43905.8550061973,44235.2658954682,42372.8726784255
DJI,Djibouti,,,,,,,,,,,,,,2140.13769442336,2253.14082249768,2376.12554719873,2502.85181449431,2596.45134698268,2677.1650334451,2781.94350113484,2773.40661780097
DMA,Dominica,6879.59737273918,6897.65674086518,6676.97271467957,7047.66189595946,7323.8530008275,7381.74728529453,7698.53701483824,8106.18951878325,8682.57378179773,8582.71481435718,8574.27308682238,8553.8384670104,8532.34388117289,8459.6586988024,8576.26367623609,8282.59874702141,8499.52291903149,7985.6341102129,8261.16492553236,8624.51695993537,7302.94454951254
DNK,Denmark,49266.9882757886,49557.1509962227,49624.5965359582,49708.0909084109,50956.3045398814,52015.1841169021,53823.1590295482,54113.9771471341,53572.5346568185,50635.9118061988,51209.4492757775,51667.5313210425,51470.689845427,51970.3909324806,52368.3625969272,53094.0133607574,54300.2039621991,55601.0145717787,56355.0733084714,57114.6227336347,55934.5555945523
DOM,Dominican Republic,4123.10573163115,4158.98430282429,4280.80182397408,4162.66686117661,4212.01044121773,4549.24957008857,4904.71715839398,5204.78500652254,5308.92664966814,5294.64953374426,5666.45633430206,5773.57403459156,5860.29893321013,6075.03399972737,6430.27811051339,6800.95309395474,7177.75376475488,7379.39978067137,7818.70593240469,8117.04639185786,7395.8734262396
DZA,Algeria,3553.32420521991,3610.00605631983,3754.66081538446,3945.89816094007,4066.28204806495,4223.60252133943,4279.61547120827,4339.25055772831,4367.56538017541,4336.10054052949,4456.6102741643,4501.3543013352,4518.43978956464,4543.23444006767,4634.10149179952,4685.05902729002,4768.73140081027,4742.90075532529,4717.0035885361,4672.66408678635,4363.68533767783
EAP,East Asia & Pacific (excluding high income),2132.39099441931,2259.8145439145,2422.47283050058,2618.81249841519,2835.24719161171,3095.23156174672,3410.6740869072,3805.17838200242,4102.12956719619,4397.68279304561,4797.24821906567,5168.48039467882,5511.82607552871,5864.64068313952,6225.65318734608,6589.77076427462,6966.47191689918,7374.82622244547,7806.58513374745,8220.71036562155,8293.69666986026
EAR,Early-demographic dividend,2158.8733767333,2144.69783734623,2143.67588181876,2211.95868741619,2312.5110972536,2409.7524782084,2515.60216032263,2617.61581534939,2666.11094569761,2641.46036980411,2766.88281699468,2859.22240884783,2935.95209151149,3010.1988692938,3087.28170907983,3174.36962020929,3261.99599812662,3365.65570800726,3444.80737958553,3480.18904220698,3290.1946903817
EAS,East Asia & Pacific,5056.47338479158,5177.21850451068,5362.11003612717,5585.29422036513,5869.9841240498,6173.52773117604,6524.30999120138,6959.65968932647,7213.51487084263,7350.03477529475,7855.36234558956,8223.35669138572,8581.48213952296,8962.78821401788,9321.66592840668,9691.70576095155,10071.8615358636,10507.3446728598,10945.0220958063,11328.7206349245,11276.053700591
